household_ID,dog_total,campaign_type,Strategy,ward,village,sub_village,dog_vacc_status,dogs_yes_vacc,dogs_no_vacc,vacc_card_status,number_dogs_seen,microchip_scanned_dogs_yes,microchip_scanned_dogs_no,vacc_dog_no_chip_status,dogs_vacc_cert,RegionName.y,district
RCT1301,1,pulse,0,3,24,71,no_vacc,NA,1,,1,0,NA,,NA,Mara,1
RCT1300,2,pulse,0,3,24,71,yes_vacc,2,0,yes_card,2,2,NA,no,2,Mara,1
RCT1299,3,pulse,0,3,24,71,no_vacc,NA,3,,3,0,NA,,NA,Mara,1
RCT1282,4,pulse,0,3,26,21,yes_vacc,1,3,yes_card,2,0,NA,no,1,Mara,1
RCT1281,4,pulse,0,3,26,21,yes_vacc,3,3,yes_card,2,2,NA,no,3,Mara,1
RCT1280,2,pulse,0,3,26,21,no_vacc,NA,2,,3,0,NA,,NA,Mara,1
RCT1279,1,pulse,0,3,26,21,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,1
RCT1278,3,pulse,0,3,26,21,yes_vacc,1,2,yes_card,2,1,NA,no,1,Mara,1
RCT1277,3,pulse,0,3,26,21,yes_vacc,1,2,yes_card,3,1,NA,no,1,Mara,1
RCT1276,1,pulse,0,3,26,21,no_vacc,NA,1,,1,0,NA,,NA,Mara,1
RCT1275,2,pulse,0,3,26,21,yes_vacc,2,0,yes_card,2,2,NA,no,2,Mara,1
RCT1274,4,pulse,0,3,26,21,yes_vacc,1,3,yes_card,4,1,NA,no,1,Mara,1
RCT1273,3,pulse,0,3,26,21,yes_vacc,2,1,yes_card,1,0,NA,no,2,Mara,1
RCT1292,1,pulse,0,3,26,59,yes_vacc,1,0,yes_card,1,0,NA,no,1,Mara,1
RCT1291,1,pulse,0,3,26,59,no_vacc,NA,1,,1,0,NA,,NA,Mara,1
RCT1290,1,pulse,0,3,26,59,no_vacc,NA,1,,2,0,NA,,NA,Mara,1
RCT1289,1,pulse,0,3,26,59,no_vacc,NA,1,,1,1,NA,,NA,Mara,1
RCT1288,3,pulse,0,3,26,59,yes_vacc,1,2,yes_card,1,1,NA,no,1,Mara,1
RCT1287,3,pulse,0,3,26,59,yes_vacc,1,2,yes_card,3,1,NA,no,1,Mara,1
RCT1286,4,pulse,0,3,26,59,yes_vacc,4,0,yes_card,4,4,NA,no,4,Mara,1
RCT1285,3,pulse,0,3,26,59,yes_vacc,3,0,yes_card,3,1,2,yes,3,Mara,1
RCT0310,1,continuous,1,6,13,76,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,0
RCT0309,3,continuous,1,6,13,76,yes_vacc,2,1,no_card,2,1,NA,no,0,Mara,0
RCT0308,2,continuous,1,6,13,76,yes_vacc,2,0,yes_card,2,1,NA,no,2,Mara,0
RCT0307,3,continuous,1,6,13,76,yes_vacc,1,2,yes_card,3,1,NA,no,1,Mara,0
RCT0306,1,continuous,1,6,13,76,no_vacc,NA,1,,1,0,NA,,NA,Mara,0
RCT0305,2,continuous,1,6,13,76,no_vacc,NA,2,,2,0,NA,,NA,Mara,0
RCT0304,2,continuous,1,6,13,76,yes_vacc,1,1,no_card,0,0,NA,no,0,Mara,0
RCT0303,1,continuous,1,6,13,76,no_vacc,NA,1,,1,0,NA,,NA,Mara,0
RCT0302,2,continuous,1,6,13,76,no_vacc,NA,2,,2,0,NA,,NA,Mara,0
RCT0301,2,continuous,1,6,13,76,yes_vacc,2,0,yes_card,1,1,NA,no,2,Mara,0
RCT0320,1,continuous,1,6,13,95,yes_vacc,1,0,yes_card,1,0,1,yes,1,Mara,0
RCT0319,3,continuous,1,6,13,95,yes_vacc,3,0,yes_card,3,3,NA,no,3,Mara,0
RCT0318,1,continuous,1,6,13,95,yes_vacc,1,0,yes_card,1,1,NA,no,1,Mara,0
RCT0317,1,continuous,1,6,13,95,no_vacc,NA,1,,1,0,NA,,NA,Mara,0
RCT0316,1,continuous,1,6,13,95,no_vacc,NA,1,,1,0,NA,,NA,Mara,0
RCT0315,1,continuous,1,6,13,95,no_vacc,NA,1,,1,0,NA,,NA,Mara,0
RCT0314,3,continuous,1,6,13,95,yes_vacc,2,1,yes_card,1,0,NA,no,2,Mara,0
RCT0313,3,continuous,1,6,13,95,no_vacc,NA,3,,3,0,NA,,NA,Mara,0
RCT0312,2,continuous,1,6,13,95,yes_vacc,2,0,yes_card,2,2,NA,no,2,Mara,0
RCT0311,3,continuous,1,6,13,95,no_vacc,NA,3,,3,0,NA,,NA,Mara,0
RCT0330,2,continuous,1,6,13,31,yes_vacc,1,1,yes_card,1,0,NA,no,1,Mara,0
RCT0329,1,continuous,1,6,13,31,yes_vacc,1,0,no_card,1,1,NA,no,0,Mara,0
RCT0328,1,continuous,1,6,13,31,no_vacc,NA,1,,1,0,NA,,NA,Mara,0
RCT0327,2,continuous,1,6,13,31,yes_vacc,2,0,no_card,2,2,NA,no,0,Mara,0
RCT0326,4,continuous,1,6,13,31,yes_vacc,2,2,yes_card,4,2,NA,no,2,Mara,0
RCT0325,3,continuous,1,6,13,31,yes_vacc,2,1,yes_card,3,2,NA,no,2,Mara,0
